Country,2019,2020
Belgium,35 940,33 500
Bulgaria,6 840,6 600
Czechia,18 330,17 260
Denmark,49 720,47 980
Germany,35 840,34 060
Estonia,15 760,15 250
Ireland,60 170,61 560
Greece,17 750,16 300
Spain,25 200,22 300
France,33 270,30 480
Croatia,12 450,11 460
Italy,26 910,24 640
Cyprus,24 530,23 050
Latvia,12 510,12 130
Lithuania,14 010,13 890
Luxembourg,83 640,81 290
Hungary,13 260,12 630
Malta,21 960,19 990
Netherlands,41 870,40 070
Austria,38 170,35 490
Poland,13 000,12 660
Portugal,18 630,17 180
Romania,9 110,8 780
Slovenia,20 700,19 420
Slovakia,15 860,15 010
Finland,37 230,36 140
Sweden,43 920,42 370
Iceland,39 150,36 150
Norway,69 560,68 630
Switzerland,62 780,60 500
United Kingdom,32 910,34 418
Montenegro,6 360,6 056
North Macedonia,3 926,3 738
Serbia,5 450,5 410
Turkey,11 500,11 590
